0 494,65 2,28333333333333
1 494,57 -2,5
2 494,49 -1,95
3 494,4 -1,56666666666668
4 494,32 -3,21666666666667
5 494,24 -0,416666666666671
6 494,15 -3,7
7 494,07 0,783333333333331
8 493,99 -4,21666666666667
9 493,9 -0,666666666666671
10 493,82 -3,66666666666667
11 493,74 -1,76666666666665
12 493,65 -2,08333333333333
13 493,57 -0,25
14 493,48 -5,48333333333333
15 493,4 -0,216666666666669
16 493,32 -1,98333333333333
17 493,23 -1,21666666666667
18 493,15 1,36666666666667
19 493,07 -2,2
20 492,98 -2,43333333333332
21 492,9 -0,116666666666674
22 492,82 -1,40000000000001
23 492,73 -1,75
24 492,65 -1,43333333333334
25 492,57 1,68333333333332
26 492,48 -2,34999999999999
27 492,4 5,5
28 492,32 -3,40000000000001
29 492,23 -1,11666666666667
30 492,15 -0,950000000000003
31 492,07 2,53333333333333
32 491,98 1,61666666666665
33 491,9 1,61666666666667
34 491,82 -1,71666666666667
35 491,73 2,88333333333333
36 491,65 -0,0499999999999972
37 491,57 -2,26666666666667
38 491,48 -3,46666666666667
39 491,4 -0,833333333333343
40 491,32 -5,41666666666666
41 491,23 0,416666666666671
42 491,15 -0,75
43 491,07 -1,33333333333334
44 490,98 -3,33333333333334
45 490,9 -2,21666666666667
46 490,82 -3,55
47 490,73 0,199999999999989
48 490,65 -0,833333333333343
49 490,57 2,84999999999999
50 490,48 -0,200000000000003
51 490,4 1,63333333333333
52 490,31 -0,633333333333326
53 490,23 1,66666666666667
54 490,15 -4,95
55 490,06 -2,59999999999999
56 489,98 -3,73333333333333
57 489,9 -0,666666666666657
58 489,81 -1,03333333333333
59 489,73 -1,36666666666665
60 489,65 -2,01666666666667
61 489,56 0,883333333333326
62 489,48 -3
63 489,4 1,80000000000001
64 489,31 -2,48333333333333
65 489,23 2,34999999999999
66 489,15 -0,0333333333333314
67 489,06 -0,233333333333334
68 488,98 -4,51666666666665
69 488,9 1,21666666666667
70 488,81 -0,450000000000003
71 488,73 -5,90000000000001
72 488,65 -2,66666666666666
73 488,56 1,46666666666667
74 488,48 -4,75
75 488,4 2,05000000000001
76 488,31 -5,46666666666667
77 488,23 1,75
78 488,15 -2,48333333333333
79 488,06 -0,466666666666669
80 487,98 -1,23333333333333
81 487,9 -1,33333333333334
82 487,81 -1,28333333333333
83 487,73 2,09999999999999
84 487,65 -2,08333333333333
85 487,56 -1,58333333333333
86 487,48 -2,05
87 487,4 0,533333333333331
88 487,31 -2,55
89 487,23 1,08333333333333
90 487,14 0,166666666666671
91 487,06 2,25
92 486,98 5,63333333333333
93 486,89 37,2166666666667
94 486,81 86,3
95 486,73 121,383333333333
96 486,64 61,9666666666667
97 486,56 31,7833333333333
98 486,48 6,38333333333333
99 486,39 2,16666666666666
100 486,31 -1,98333333333335
101 486,23 -2,41666666666667
102 486,14 -2,53333333333333
103 486,06 -4,01666666666667
104 485,98 -6,40000000000001
105 485,89 -3,2
106 485,81 -2,68333333333332
107 485,73 -6,18333333333332
108 485,64 -1,65000000000001
109 485,56 -2,90000000000001
110 485,48 -3,23333333333333
111 485,39 -0,133333333333326
112 485,31 -2,96666666666667
113 485,23 -0,333333333333329
114 485,14 -1,8
115 485,06 -0,683333333333337
116 484,98 -8,26666666666667
117 484,89 -4,98333333333333
118 484,81 -5,31666666666668
119 484,73 0,533333333333331
120 484,64 -3,13333333333333
121 484,56 -0,233333333333334
122 484,48 -4,75
123 484,39 -3,33333333333333
124 484,31 0,483333333333334
125 484,23 0,450000000000003
126 484,14 2,45
127 484,06 6,73333333333333
128 483,97 2,3
129 483,89 9,66666666666667
130 483,81 6,95
131 483,72 9,09999999999999
132 483,64 7,46666666666667
133 483,56 8,88333333333333
134 483,47 8,06666666666668
135 483,39 8,86666666666665
136 483,31 3,75
137 483,22 10,35
138 483,14 6,06666666666668
139 483,06 7,11666666666665
140 482,97 5,68333333333332
141 482,89 4,51666666666667
142 482,81 3,71666666666667
143 482,72 6,15000000000001
144 482,64 4,61666666666665
145 482,56 5,09999999999999
146 482,47 3,2
147 482,39 5,71666666666667
148 482,31 3,11666666666667
149 482,22 5,55
150 482,14 1,51666666666667
151 482,06 1,06666666666668
152 481,97 1,09999999999999
153 481,89 4,3
154 481,81 4,59999999999999
155 481,72 4,05
156 481,64 1,41666666666667
157 481,56 1,71666666666667
158 481,47 2,40000000000001
159 481,39 1,66666666666666
160 481,31 -0,700000000000003
161 481,22 2,25
162 481,14 0,516666666666666
163 481,05 -0,216666666666669
164 480,97 0,316666666666663
165 480,89 -0,733333333333334
166 480,8 0,0666666666666771
167 480,72 1,3
168 480,64 -0,25
169 480,55 1,51666666666667
170 480,47 -0,816666666666677
171 480,39 2,51666666666667
172 480,3 -2,59999999999999
173 480,22 -0,816666666666677
174 480,14 -2,06666666666668
175 480,05 -1,25
176 479,97 -2,3
177 479,89 -2,71666666666667
178 479,8 -1,65000000000001
179 479,72 -3,59999999999999
180 479,64 0,983333333333334
181 479,55 -2,51666666666667
182 479,47 -1,7
183 479,39 -1,15000000000001
184 479,3 1,3
185 479,22 -2,58333333333333
186 479,14 -3,26666666666667
187 479,05 -3,46666666666667
188 478,97 -3,13333333333333
189 478,89 1,63333333333333
190 478,8 -4,18333333333332
191 478,72 -1,76666666666665
192 478,64 2,05
193 478,55 0,166666666666671
194 478,47 -4,38333333333333
195 478,39 -1,90000000000001
196 478,3 -2,06666666666668
197 478,22 0,933333333333323
198 478,14 -2,40000000000001
199 478,05 -3,26666666666667
200 477,97 -3,76666666666667
201 477,88 0,766666666666666
202 477,8 -3,63333333333333
203 477,72 1,68333333333332
204 477,63 0,466666666666669
205 477,55 0,183333333333337
206 477,47 -3,86666666666667
207 477,38 1,11666666666667
208 477,3 -4,76666666666665
209 477,22 0,783333333333331
210 477,13 -2,95
211 477,05 0,200000000000003
212 476,97 -1,03333333333333
213 476,88 -3,65000000000001
214 476,8 -2,5
215 476,72 -2,43333333333332
216 476,63 1,88333333333333
217 476,55 -2,56666666666668
218 476,47 -0,283333333333331
219 476,38 1,03333333333333
220 476,3 -3,19999999999999
221 476,22 -1,51666666666667
222 476,13 2,43333333333332
223 476,05 -2,86666666666667
224 475,97 -3,48333333333333
225 475,88 0,566666666666677
226 475,8 -3,55
227 475,72 -3,59999999999999
228 475,63 0,383333333333326
229 475,55 -2,59999999999999
230 475,47 -2,75
231 475,38 0,966666666666669
232 475,3 -1,41666666666666
233 475,22 -1,93333333333332
234 475,13 1,06666666666668
235 475,05 -2,41666666666667
236 474,97 -0,349999999999994
237 474,88 2,88333333333333
238 474,8 -0,25
239 474,71 -0,616666666666646
240 474,63 -1,15000000000001
241 474,55 1,09999999999999
242 474,46 1,41666666666667
243 474,38 0,466666666666669
244 474,3 -2,33333333333334
245 474,21 -3,65000000000001
246 474,13 1,3
247 474,05 -0,416666666666657
248 473,96 -1,5
249 473,88 -3,48333333333333
250 473,8 -4,2
251 473,71 -1,21666666666667
252 473,63 1,03333333333333
253 473,55 -1,96666666666667
254 473,46 -1,23333333333333
255 473,38 0,0499999999999972
256 473,3 -3,11666666666665
257 473,21 2,84999999999999
258 473,13 1,2
259 473,05 0,616666666666646
260 472,96 1,13333333333335
261 472,88 -0,950000000000003
262 472,8 -0,683333333333323
263 472,71 2,13333333333333
264 472,63 2,21666666666667
265 472,55 3,05000000000001
266 472,46 1,28333333333333
267 472,38 1,36666666666666
268 472,3 -0,516666666666666
269 472,21 1,90000000000001
270 472,13 0,883333333333333
271 472,05 2,84999999999999
272 471,96 -1,56666666666668
273 471,88 -0,433333333333337
274 471,8 -1,59999999999999
275 471,71 -0,25
276 471,63 1,08333333333334
277 471,54 3,46666666666667
278 471,46 9,88333333333333
279 471,38 11,55
280 471,29 6,83333333333333
281 471,21 7,28333333333333
282 471,13 2,09999999999999
283 471,04 4,09999999999999
284 470,96 2,66666666666667
285 470,88 1,96666666666667
286 470,79 0,266666666666666
287 470,71 1,84999999999999
288 470,63 -0,783333333333331
289 470,54 -0,583333333333329
290 470,46 1,71666666666667
291 470,38 0,349999999999994
292 470,29 2,61666666666667
293 470,21 4,23333333333333
294 470,13 1,36666666666667
295 470,04 0,666666666666657
296 469,96 -2,23333333333335
297 469,88 3,51666666666667
298 469,79 0,116666666666674
299 469,71 2,05
300 469,63 -0,733333333333334
301 469,54 -0,400000000000006
302 469,46 1,66666666666667
303 469,38 2,83333333333334
304 469,29 1,40000000000001
305 469,21 0,366666666666674
306 469,13 -1,95
307 469,04 -0,283333333333331
308 468,96 -0,400000000000006
309 468,88 -1,06666666666668
310 468,79 -4,31666666666668
311 468,71 -2,66666666666666
312 468,63 1,03333333333333
313 468,54 -0,916666666666671
314 468,46 0,900000000000006
315 468,37 1,18333333333332
316 468,29 -1,46666666666667
317 468,21 -0,716666666666669
318 468,12 -0,766666666666666
319 468,04 -3,90000000000001
320 467,96 -0,216666666666669
321 467,87 -3,11666666666667
322 467,79 -5,41666666666667
323 467,71 -3,30000000000001
324 467,62 -1,18333333333332
325 467,54 0,450000000000003
326 467,46 -0,5
327 467,37 -1,53333333333333
328 467,29 1,7
329 467,21 3,84999999999999
330 467,12 1,34999999999999
331 467,04 0,366666666666646
332 466,96 -0,483333333333334
333 466,87 -1,06666666666668
334 466,79 2,46666666666667
335 466,71 0,849999999999994
336 466,62 -2,26666666666665
337 466,54 -2,66666666666667
338 466,46 -1,83333333333333
339 466,37 -2,30000000000001
340 466,29 -2,93333333333334
341 466,21 0,516666666666666
342 466,12 -1,11666666666667
343 466,04 -1,73333333333333
344 465,96 -0,733333333333348
345 465,87 -0,733333333333334
346 465,79 3,63333333333333
347 465,71 8,01666666666665
348 465,62 3,56666666666666
349 465,54 5,05
350 465,45 -0,450000000000003
351 465,37 0,733333333333334
352 465,29 0,816666666666663
353 465,2 1,48333333333333
354 465,12 0,5
355 465,04 0,400000000000006
356 464,95 3,08333333333333
357 464,87 -0,516666666666666
358 464,79 -5,7
359 464,7 0,0500000000000114
360 464,62 0,533333333333331
361 464,54 -2,06666666666668
362 464,45 2,7
363 464,37 0,866666666666646
364 464,29 2,59999999999999
365 464,2 0,983333333333334
366 464,12 -3,06666666666668
367 464,04 -2,75
368 463,95 -4,3
369 463,87 -4,65000000000001
370 463,79 2,81666666666668
371 463,7 0,733333333333334
372 463,62 -1
373 463,54 -2,21666666666667
374 463,45 -1,40000000000001
375 463,37 -3,16666666666667
376 463,29 -1
377 463,2 1,18333333333332
378 463,12 -0,566666666666677
379 463,04 -1,08333333333333
380 462,95 -3,03333333333333
381 462,87 -4,2
382 462,79 -3,05
383 462,7 -1,80000000000001
384 462,62 -5,53333333333333
385 462,54 1,31666666666668
386 462,45 -1,7
387 462,37 -3,75
388 462,28 -2,06666666666668
389 462,2 -0,299999999999997
390 462,12 -1,6
391 462,03 -1,73333333333333
392 461,95 -3,61666666666667
393 461,87 -1,40000000000001
394 461,78 -2,93333333333332
395 461,7 -2,5
396 461,62 1,59999999999999
397 461,53 -3,41666666666667
398 461,45 -1,73333333333333
399 461,37 1,78333333333333
400 461,28 -0,666666666666657
401 461,2 1,43333333333332
402 461,12 -4,75
403 461,03 0,216666666666669
404 460,95 -1,05
405 460,87 -0,666666666666671
406 460,78 -5,01666666666667
407 460,7 2,66666666666666
408 460,62 -1,11666666666665
409 460,53 -0,183333333333323
